વચનામૃત,বচনামৃত
વચનામૃતમાં,বচনামৃতের মধ্যে
વચનામૃતની,বচনামৃতের
શ્રીજી મહારાજ,শ্রীজী মহারাজ
શ્રીજી મહારાજનો,শ্রীজী মহারাজের
મહંત સ્વામી મહારાજ,মহন্ত স্বামী মহারাজ
સાક્ષાત પરબ્રહ્મ,সাক্ষাৎ পরব্রহ্ম
પુરુષોત્તમ નારાયણ,পুরুষোত্তম নারায়ণ
નિષ્કુળાનંદ સ્વામી,নিষ্কুলানন্দ স্বামী
સંત તે સ્વયં હરિ,সন্তই স্বয়ং হরি
ગઢડા,গড়দা
પાંચાળાના,পঞ্চালার
ગઢડા પ્રથમ,গড়দা প্রথম
સત્પુરુષ,সৎপুরুষ
ગુણાતીત,গুণাতীত
હરિ,হরি
સ્વામિનારાયણે,স্বামীনারায়ণ
સ્વામિનારાયણ,স্বামীনারায়ণ
મહારાજ,মহারাজ
મહારાજન,মহারাজের
મહંત સ્વામી,মহন্ত স্বামী
સ્વામી મહારાજ,স্বামী মহারাজ
આશીર્વાદ,আশীর্বাদ
ભજનની,ভজনের
ભજન,ভজন
દ્રષ્ટિ,দৃষ্টি
નિવાસ,নিবাস
નમ્રતા,নম্রতা
નિર્માનીપણું,নির্মানীভাব
જીવનની,জীবনের
કાયદો,নিয়ম
કલ્યાણ,কল্যাণ
શાશ્વત સુખ,শাশ্বত সুখ
સુખનું ધામ,সুখের ধাম
પધરામણી,পধরামণি
ભક્તિનો,ভক্তির
ભક્તિ,ভক্তি
ભાવના,ভাবনা
ધામ,ধাম
